Symbol,essentiality
AAAS,Essential
AAMP,Essential
AARS,Essential
AARS2,Essential
AASDHPPT,Essential
AATF,Essential
ABCB10,Essential
ABCE1,Essential
ABCF1,Essential
ABCG1,Essential
ABHD11,Essential
ABHD17A,Essential
ABT1,Essential
ACD,Essential
ACIN1,Essential
ACOT12,Essential
ACTB,Essential
ACTL6A,Essential
ACTR10,Essential
ACTR1A,Essential
ACTR1B,Essential
ACTR2,Essential
ACTR3,Essential
ACTR6,Essential
ACTR8,Essential
ADAT2,Essential
ADAT3,Essential
ADRM1,Essential
ADSL,Essential
AFG3L2,Essential
AGAP5,Essential
AGAP6,Essential
AHCTF1,Essential
AHCY,Essential
AK6,Essential
AKIRIN2,Essential
AKR7A3,Essential
ALDOA,Essential
ALG1,Essential
ALG11,Essential
ALG14,Essential
ALG1L,Essential
ALG2,Essential
ALYREF,Essential
ANAPC1,Essential
ANAPC10,Essential
ANAPC11,Essential
ANAPC13,Essential
ANAPC15,Essential
ANAPC2,Essential
ANAPC4,Essential
ANAPC5,Essential
ANKLE2,Essential
ANKRD11,Essential
ANKRD20A2,Essential
ANKRD36,Essential
ANKRD49,Essential
ANKS6,Essential
ANLN,Essential
AP2M1,Essential
AP2S1,Essential
AQP7,Essential
AQR,Essential
ARCN1,Essential
ARF4,Essential
ARFRP1,Essential
ARGFX,Essential
ARGLU1,Essential
ARHGAP11B,Essential
ARID3A,Essential
ARIH1,Essential
ARL2,Essential
ARL4D,Essential
ARMC6,Essential
ARMC7,Essential
ARPC2,Essential
ARPC3,Essential
ARPC4,Essential
ASF1B,Essential
ASNA1,Essential
ASUN,Essential
ATF4,Essential
ATL2,Essential
ATP1A1,Essential
ATP2A2,Essential
ATP5A1,Essential
ATP5B,Essential
ATP5C1,Essential
ATP5D,Essential
ATP5E,Essential
ATP5F1,Essential
ATP5G1,Essential
ATP5I,Essential
ATP5J2,Essential
ATP5L,Essential
ATP5O,Essential
ATP6V0B,Essential
ATP6V0C,Essential
ATP6V0D1,Essential
ATP6V1A,Essential
ATP6V1B2,Essential
ATP6V1C1,Essential
ATP6V1D,Essential
ATP6V1E1,Essential
ATP6V1F,Essential
ATP6V1G1,Essential
ATP6V1H,Essential
ATR,Essential
ATRIP,Essential
AURKA,Essential
AURKAIP1,Essential
AURKB,Essential
BANF1,Essential
BANP,Essential
BAP1,Essential
BARD1,Essential
BCAR1,Essential
BCAS2,Essential
BCL2L1,Essential
BCLAF1,Essential
BCS1L,Essential
BDP1,Essential
BET1,Essential
BIRC5,Essential
BMS1,Essential
BNIP1,Essential
BOLA2,Essential
BOP1,Essential
BORA,Essential
BRCA1,Essential
BRCA2,Essential
BRD4,Essential
BRD8,Essential
BRF1,Essential
BRF2,Essential
BRIP1,Essential
BRIX1,Essential
BRK1,Essential
BRMS1,Essential
BTF3,Essential
BTF3L4,Essential
BUB1,Essential
BUB1B,Essential
BUB3,Essential
BUD13,Essential
BUD31,Essential
BYSL,Essential
C10orf2,Essential
C11orf57,Essential
C12orf45,Essential
C14orf166,Essential
C14orf80,Essential
C16orf59,Essential
C16orf86,Essential
C17orf58,Essential
C17orf82,Essential
C17orf89,Essential
C17orf96,Essential
C19orf25,Essential
C19orf52,Essential
C19orf53,Essential
C1D,Essential
C1QBP,Essential
C1QTNF4,Essential
C1orf109,Essential
C1orf131,Essential
C21orf59,Essential
C2orf27A,Essential
C3orf17,Essential
C3orf38,Essential
C6orf15,Essential
C7orf26,Essential
C7orf50,Essential
C9orf114,Essential
C9orf16,Essential
C9orf78,Essential
CA5A,Essential
CACNB3,Essential
CACTIN,Essential
CADM4,Essential
CAMLG,Essential
CAP1,Essential
CAPZB,Essential
CARS,Essential
CASC5,Essential
CBLL1,Essential
CBLN1,Essential
CBWD2,Essential
CBWD3,Essential
CBWD5,Essential
CBX1,Essential
CCAR1,Essential
CCDC101,Essential
CCDC115,Essential
CCDC130,Essential
CCDC137,Essential
CCDC144A,Essential
CCDC144NL,Essential
CCDC174,Essential
CCDC59,Essential
CCDC78,Essential
CCDC84,Essential
CCDC86,Essential
CCDC94,Essential
CCNA2,Essential
CCNB1,Essential
CCND1,Essential
CCNH,Essential
CCNK,Essential
CCNL1,Essential
CCP110,Essential
CCT2,Essential
CCT3,Essential
CCT4,Essential
CCT5,Essential
CCT6A,Essential
CCT7,Essential
CCT8,Essential
CD2BP2,Essential
CD3EAP,Essential
CDAN1,Essential
CDC123,Essential
CDC16,Essential
CDC20,Essential
CDC23,Essential
CDC26,Essential
CDC27,Essential
CDC37,Essential
CDC40,Essential
CDC42,Essential
CDC45,Essential
CDC5L,Essential
CDC6,Essential
CDC7,Essential
CDC73,Essential
CDCA5,Essential
CDCA8,Essential
CDH5,Essential
CDIPT,Essential
CDK1,Essential
CDK11A,Essential
CDK2,Essential
CDK7,Essential
CDK9,Essential
CDT1,Essential
CEBPZ,Essential
CENPA,Essential
CENPC,Essential
CENPE,Essential
CENPH,Essential
CENPK,Essential
CENPN,Essential
CENPT,Essential
CENPW,Essential
CEP131,Essential
CEP152,Essential
CEP192,Essential
CEP68,Essential
CEP85,Essential
CEP97,Essential
CFAP20,Essential
CFDP1,Essential
CFL1,Essential
CHAF1A,Essential
CHAF1B,Essential
CHCHD1,Essential
CHCHD2,Essential
CHCHD4,Essential
CHD4,Essential
CHEK1,Essential
CHERP,Essential
CHMP1A,Essential
CHMP2A,Essential
CHMP3,Essential
CHMP4B,Essential
CHMP5,Essential
CHMP6,Essential
CHMP7,Essential
CHORDC1,Essential
CHTF18,Essential
CHTF8,Essential
CHTOP,Essential
CIAO1,Essential
CIAPIN1,Essential
CINP,Essential
CIRH1A,Essential
CKAP5,Essential
CLASRP,Essential
CLCC1,Essential
CLK2,Essential
CLNS1A,Essential
CLP1,Essential
CLPS,Essential
CLSPN,Essential
CLTC,Essential
CMPK1,Essential
CMTR1,Essential
CNIH4,Essential
CNN2,Essential
CNOT1,Essential
CNOT2,Essential
CNOT3,Essential
COA5,Essential
COA7,Essential
COASY,Essential
COG1,Essential
COG2,Essential
COG3,Essential
COG4,Essential
COG6,Essential
COG8,Essential
COPA,Essential
COPB1,Essential
COPB2,Essential
COPE,Essential
COPG1,Essential
COPS2,Essential
COPS3,Essential
COPS4,Essential
COPS5,Essential
COPS6,Essential
COPS8,Essential
COPZ1,Essential
COQ2,Essential
COQ4,Essential
COQ5,Essential
COX10,Essential
COX11,Essential
COX15,Essential
COX17,Essential
COX5A,Essential
COX5B,Essential
COX6A1,Essential
COX6C,Essential
COX7C,Essential
CPAMD8,Essential
CPNE7,Essential
CPOX,Essential
CPSF1,Essential
CPSF2,Essential
CPSF3,Essential
CPSF3L,Essential
CPSF4,Essential
CPSF6,Essential
CRCP,Essential
CRKL,Essential
CRLS1,Essential
CRNKL1,Essential
CS,Essential
CSE1L,Essential
CSH2,Essential
CSNK1A1,Essential
CSNK2B,Essential
CSTF1,Essential
CSTF3,Essential
CTAGE9,Essential
CTCF,Essential
CTDP1,Essential
CTNNBL1,Essential
CTPS1,Essential
CTR9,Essential
CTU2,Essential
CUL1,Essential
CUL2,Essential
CUL3,Essential
CUL7,Essential
CWC22,Essential
CWC25,Essential
CWF19L2,Essential
CXXC1,Essential
CYC1,Essential
CYCS,Essential
CYFIP1,Essential
CYP2A13,Essential
CYP4F11,Essential
CYS1,Essential
DAD1,Essential
DAP3,Essential
DARS,Essential
DBF4,Essential
DBR1,Essential
DCAF6,Essential
DCLRE1B,Essential
DCTN1,Essential
DCTN2,Essential
DCTN3,Essential
DCTN4,Essential
DCTN5,Essential
DCTN6,Essential
DDB1,Essential
DDN,Essential
DDOST,Essential
DDX1,Essential
DDX10,Essential
DDX11,Essential
DDX18,Essential
DDX19A,Essential
DDX19B,Essential
DDX20,Essential
DDX21,Essential
DDX23,Essential
DDX24,Essential
DDX27,Essential
DDX41,Essential
DDX42,Essential
DDX46,Essential
DDX47,Essential
DDX49,Essential
DDX5,Essential
DDX51,Essential
DDX52,Essential
DDX54,Essential
DDX55,Essential
DDX56,Essential
DDX59,Essential
DDX6,Essential
DENR,Essential
DERL2,Essential
DGCR14,Essential
DHDDS,Essential
DHFR,Essential
DHODH,Essential
DHPS,Essential
DHX15,Essential
DHX16,Essential
DHX33,Essential
DHX36,Essential
DHX37,Essential
DHX8,Essential
DHX9,Essential
DICER1,Essential
DIDO1,Essential
DIEXF,Essential
DIMT1,Essential
DIS3,Essential
DMAP1,Essential
DMRTA2,Essential
DNAJA1,Essential
DNAJA3,Essential
DNAJC11,Essential
DNAJC17,Essential
DNAJC8,Essential
DNAJC9,Essential
DNLZ,Essential
DNM1,Essential
DNM1L,Essential
DNM2,Essential
DNMT1,Essential
DNTTIP2,Essential
DOHH,Essential
DOLK,Essential
DONSON,Essential
DPAGT1,Essential
DPH1,Essential
DPH2,Essential
DPH3,Essential
DPH6,Essential
DPM2,Essential
DPPA2,Essential
DPPA3,Essential
DPPA5,Essential
DPY19L2,Essential
DR1,Essential
DRAP1,Essential
DRG1,Essential
DSN1,Essential
DTL,Essential
DTYMK,Essential
DUT,Essential
DYNC1H1,Essential
DYNC1I2,Essential
DYNLL1,Essential
DYNLRB1,Essential
E2F6,Essential
E4F1,Essential
EAPP,Essential
EARS2,Essential
EBNA1BP2,Essential
ECD,Essential
ECT2,Essential
EDC4,Essential
EEF1A1,Essential
EEF1B2,Essential
EEF1G,Essential
EEF2,Essential
EEFSEC,Essential
EFTUD1,Essential
EFTUD2,Essential
EGLN2,Essential
EIF1,Essential
EIF1AD,Essential
EIF2B1,Essential
EIF2B2,Essential
EIF2B3,Essential
EIF2B4,Essential
EIF2B5,Essential
EIF2S1,Essential
EIF2S2,Essential
EIF3A,Essential
EIF3B,Essential
EIF3CL,Essential
EIF3D,Essential
EIF3E,Essential
EIF3F,Essential
EIF3G,Essential
EIF3H,Essential
EIF3I,Essential
EIF3J,Essential
EIF3L,Essential
EIF3M,Essential
EIF4A1,Essential
EIF4A3,Essential
EIF4B,Essential
EIF4E,Essential
EIF4G1,Essential
EIF4G2,Essential
EIF5,Essential
EIF5A,Essential
EIF6,Essential
ELAC2,Essential
ELL,Essential
ELOVL1,Essential
ELP2,Essential
ELP3,Essential
ELP5,Essential
ELP6,Essential
EMC1,Essential
EMC3,Essential
EMC4,Essential
EMC7,Essential
ENO1,Essential
ENTHD2,Essential
EP400,Essential
EPRS,Essential
ERAL1,Essential
ERCC2,Essential
ERCC3,Essential
ERH,Essential
ERVW-1,Essential
ESF1,Essential
ESPL1,Essential
ESPN,Essential
ETF1,Essential
EWSR1,Essential
EXOC1,Essential
EXOC2,Essential
EXOC3,Essential
EXOC4,Essential
EXOC5,Essential
EXOC7,Essential
EXOC8,Essential
EXOSC1,Essential
EXOSC10,Essential
EXOSC2,Essential
EXOSC3,Essential
EXOSC4,Essential
EXOSC5,Essential
EXOSC6,Essential
EXOSC7,Essential
EXOSC8,Essential
EXOSC9,Essential
FAF2,Essential
FAM133B,Essential
FAM136A,Essential
FAM207A,Essential
FAM231A,Essential
FAM25G,Essential
FAM32A,Essential
FAM60A,Essential
FAM63A,Essential
FAM63B,Essential
FAM72B,Essential
FAM86A,Essential
FAM86B1,Essential
FAM96B,Essential
FARS2,Essential
FARSA,Essential
FARSB,Essential
FASTKD5,Essential
FAU,Essential
FBL,Essential
FBLIM1,Essential
FBXO5,Essential
FCF1,Essential
FDPS,Essential
FDXR,Essential
FEM1A,Essential
FEN1,Essential
FGFR1OP,Essential
FIP1L1,Essential
FNBP4,Essential
FNTA,Essential
FNTB,Essential
FOXD4,Essential
FOXD4L6,Essential
FOXL2,Essential
FRG2,Essential
FTSJ2,Essential
FTSJ3,Essential
FXN,Essential
GABPA,Essential
GAK,Essential
GALP,Essential
GAPDH,Essential
GAR1,Essential
GARS,Essential
GBF1,Essential
GCN1L1,Essential
GEMIN4,Essential
GEMIN5,Essential
GEMIN6,Essential
GEMIN7,Essential
GFER,Essential
GFM1,Essential
GGPS1,Essential
GGTLC2,Essential
GINS1,Essential
GINS2,Essential
GINS3,Essential
GINS4,Essential
GJA3,Essential
GLE1,Essential
GLMN,Essential
GLRX3,Essential
GLRX5,Essential
GLTSCR2,Essential
GMPPB,Essential
GMPS,Essential
GNB1L,Essential
GNB2L1,Essential
GNL2,Essential
GNL3,Essential
GNPNAT1,Essential
GOLGA6A,Essential
GOLGA6L1,Essential
GOLGA6L10,Essential
GOLGA6L6,Essential
GOLGA8K,Essential
GOLGA8N,Essential
GOLGA8R,Essential
GON4L,Essential
GOSR2,Essential
GPAT2,Essential
GPN1,Essential
GPN2,Essential
GPN3,Essential
GPR61,Essential
GPS1,Essential
GRB2,Essential
GRPEL1,Essential
GRSF1,Essential
GRWD1,Essential
GSDMA,Essential
GSPT1,Essential
GSTT2B,Essential
GTF2A1,Essential
GTF2A2,Essential
GTF2B,Essential
GTF2E1,Essential
GTF2E2,Essential
GTF2F1,Essential
GTF2F2,Essential
GTF2H1,Essential
GTF2H2,Essential
GTF2H2C,Essential
GTF2H3,Essential
GTF2H4,Essential
GTF3A,Essential
GTF3C1,Essential
GTF3C2,Essential
GTF3C3,Essential
GTF3C4,Essential
GTF3C5,Essential
GTF3C6,Essential
GTPBP4,Essential
GUK1,Essential
H2AFX,Essential
H2AFZ,Essential
H3F3A,Essential
HAMP,Essential
HAPLN2,Essential
HARS,Essential
HARS2,Essential
HAUS1,Essential
HAUS3,Essential
HAUS4,Essential
HAUS5,Essential
HAUS6,Essential
HAUS8,Essential
HAX1,Essential
HCRTR1,Essential
HDAC3,Essential
HEATR1,Essential
HECTD1,Essential
HGS,Essential
HINFP,Essential
HIRA,Essential
HIST1H2AB,Essential
HIST1H2AE,Essential
HIST1H2AI,Essential
HIST1H2BB,Essential
HIST1H2BC,Essential
HIST1H2BE,Essential
HIST1H2BI,Essential
HIST1H2BJ,Essential
HIST1H2BL,Essential
HIST1H2BM,Essential
HIST1H2BN,Essential
HIST2H2AA3,Essential
HIST2H2AC,Essential
HIST2H2BE,Essential
HIST2H2BF,Essential
HIST2H3A,Essential
HIST2H3D,Essential
HJURP,Essential
HLA-C,Essential
HMGA1,Essential
HMGB1,Essential
HMGCR,Essential
HMGCS1,Essential
HMGN2,Essential
HNRNPA0,Essential
HNRNPC,Essential
HNRNPCL1,Essential
HNRNPH1,Essential
HNRNPK,Essential
HNRNPL,Essential
HNRNPM,Essential
HNRNPR,Essential
HNRNPU,Essential
HOXC10,Essential
HS6ST1,Essential
HSCB,Essential
HSD11B1L,Essential
HSD17B12,Essential
HSF1,Essential
HSP90B1,Essential
HSPA14,Essential
HSPA5,Essential
HSPA9,Essential
HSPD1,Essential
HSPE1,Essential
HUS1,Essential
HYOU1,Essential
HYPK,Essential
IARS,Essential
IARS2,Essential
ICE1,Essential
ICE2,Essential
IFITM2,Essential
IFITM3,Essential
IGSF3,Essential
IK,Essential
IKBKAP,Essential
ILF2,Essential
ILF3,Essential
IMP3,Essential
IMP4,Essential
IMPDH2,Essential
INCENP,Essential
ING3,Essential
INO80,Essential
INO80B,Essential
INTS1,Essential
INTS10,Essential
INTS2,Essential
INTS3,Essential
INTS4,Essential
INTS5,Essential
INTS6,Essential
INTS7,Essential
INTS8,Essential
INTS9,Essential
IPO11,Essential
IPO13,Essential
IPO7,Essential
IPO9,Essential
ISCA2,Essential
ISCU,Essential
ISG20L2,Essential
ISY1,Essential
JAZF1,Essential
JMJD6,Essential
KANSL1,Essential
KANSL2,Essential
KANSL3,Essential
KARS,Essential
KAT5,Essential
KAT8,Essential
KATNB1,Essential
KCMF1,Essential
KCNA10,Essential
KDM2A,Essential
KDM8,Essential
KIAA0391,Essential
KIAA1143,Essential
KIAA1429,Essential
KIF11,Essential
KIF14,Essential
KIF18A,Essential
KIF18B,Essential
KIF20A,Essential
KIF23,Essential
KIF2C,Essential
KIN,Essential
KLC2,Essential
KLF7,Essential
KLHL11,Essential
KPNA6,Essential
KPNB1,Essential
KRI1,Essential
KRR1,Essential
KRT10,Essential
KRT17,Essential
KRT8,Essential
KRTAP4-2,Essential
KRTAP4-7,Essential
KRTAP5-7,Essential
KRTAP5-9,Essential
KTI12,Essential
KXD1,Essential
LAMTOR2,Essential
LAMTOR3,Essential
LAMTOR4,Essential
LARS,Essential
LARS2,Essential
LCE1C,Essential
LCE1E,Essential
LCN10,Essential
LENG8,Essential
LETM1,Essential
LIMS1,Essential
LIN52,Essential
LIN54,Essential
LOH12CR1,Essential
LONP1,Essential
LPA,Essential
LRPPRC,Essential
LRR1,Essential
LRRC37A3,Essential
LRRC37B,Essential
LSG1,Essential
LSM10,Essential
LSM11,Essential
LSM12,Essential
LSM2,Essential
LSM3,Essential
LSM4,Essential
LSM5,Essential
LSM6,Essential
LSM7,Essential
LSM8,Essential
LST1,Essential
LTB4R2,Essential
LTBP3,Essential
LTV1,Essential
LUC7L3,Essential
LURAP1,Essential
LYRM4,Essential
MAD2L1,Essential
MAD2L2,Essential
MAGOH,Essential
MAK16,Essential
MANF,Essential
MARS,Essential
MARS2,Essential
MASTL,Essential
MAT2A,Essential
MAU2,Essential
MAX,Essential
MBTPS1,Essential
MCL1,Essential
MCM2,Essential
MCM3,Essential
MCM3AP,Essential
MCM4,Essential
MCM5,Essential
MCM6,Essential
MCM7,Essential
MCMBP,Essential
MCRS1,Essential
MDN1,Essential
MED1,Essential
MED10,Essential
MED11,Essential
MED17,Essential
MED18,Essential
MED20,Essential
MED21,Essential
MED22,Essential
MED26,Essential
MED27,Essential
MED28,Essential
MED29,Essential
MED30,Essential
MED31,Essential
MED4,Essential
MED6,Essential
MED7,Essential
MED8,Essential
MED9,Essential
MEPCE,Essential
METAP1,Essential
METAP2,Essential
METTL1,Essential
METTL14,Essential
METTL16,Essential
METTL17,Essential
METTL23,Essential
METTL3,Essential
METTL7A,Essential
MEX3A,Essential
MFAP1,Essential
MFN2,Essential
MINOS1,Essential
MIOS,Essential
MIPEP,Essential
MIS12,Essential
MIS18A,Essential
MIS18BP1,Essential
MKRN1,Essential
MLST8,Essential
MMS19,Essential
MMS22L,Essential
MNAT1,Essential
MOB4,Essential
MOCS3,Essential
MOG,Essential
MOK,Essential
MPHOSPH10,Essential
MRE11A,Essential
MRGBP,Essential
MRPL1,Essential
MRPL10,Essential
MRPL12,Essential
MRPL13,Essential
MRPL14,Essential
MRPL15,Essential
MRPL16,Essential
MRPL17,Essential
MRPL18,Essential
MRPL19,Essential
MRPL2,Essential
MRPL20,Essential
MRPL21,Essential
MRPL22,Essential
MRPL24,Essential
MRPL27,Essential
MRPL28,Essential
MRPL3,Essential
MRPL32,Essential
MRPL33,Essential
MRPL34,Essential
MRPL35,Essential
MRPL36,Essential
MRPL37,Essential
MRPL38,Essential
MRPL39,Essential
MRPL4,Essential
MRPL40,Essential
MRPL41,Essential
MRPL43,Essential
MRPL44,Essential
MRPL45,Essential
MRPL49,Essential
MRPL50,Essential
MRPL51,Essential
MRPL53,Essential
MRPL54,Essential
MRPL55,Essential
MRPL57,Essential
MRPL9,Essential
MRPS10,Essential
MRPS11,Essential
MRPS12,Essential
MRPS14,Essential
MRPS16,Essential
MRPS18A,Essential
MRPS18B,Essential
MRPS2,Essential
MRPS21,Essential
MRPS22,Essential
MRPS23,Essential
MRPS24,Essential
MRPS25,Essential
MRPS26,Essential
MRPS27,Essential
MRPS28,Essential
MRPS31,Essential
MRPS34,Essential
MRPS35,Essential
MRPS5,Essential
MRPS6,Essential
MRPS7,Essential
MRPS9,Essential
MRTO4,Essential
MSRB1,Essential
MST1,Essential
MSTO1,Essential
MT2A,Essential
MTBP,Essential
MTG2,Essential
MTOR,Essential
MTPAP,Essential
MTRNR2L1,Essential
MTRNR2L8,Essential
MVD,Essential
MVK,Essential
MXRA7,Essential
MYBBP1A,Essential
MYBL2,Essential
MYC,Essential
MYCBP,Essential
MYO1H,Essential
MZF1,Essential
MZT1,Essential
N6AMT1,Essential
NAA15,Essential
NAA20,Essential
NAA25,Essential
NAA35,Essential
NAA50,Essential
NACA,Essential
NAE1,Essential
NAF1,Essential
NAGLU,Essential
NAPA,Essential
NAPG,Essential
NARFL,Essential
NARS,Essential
NASP,Essential
NAT10,Essential
NBAS,Essential
NBEAL1,Essential
NBPF11,Essential
NBPF15,Essential
NBPF3,Essential
NCAPD2,Essential
NCAPD3,Essential
NCAPG,Essential
NCAPG2,Essential
NCAPH,Essential
NCAPH2,Essential
NCBP1,Essential
NCBP2,Essential
NCKAP1,Essential
NCL,Essential
NCOA4,Essential
NDC1,Essential
NDC80,Essential
NDE1,Essential
NDNL2,Essential
NDOR1,Essential
NDUFA11,Essential
NDUFA2,Essential
NDUFA6,Essential
NDUFA8,Essential
NDUFAB1,Essential
NDUFAF3,Essential
