Symbol,essentiality
NDUFAF7,Essential
NDUFB10,Essential
NDUFB3,Essential
NDUFB4,Essential
NDUFB6,Essential
NDUFB7,Essential
NDUFB8,Essential
NDUFB9,Essential
NDUFS2,Essential
NDUFS3,Essential
NDUFS5,Essential
NEDD1,Essential
NEDD8,Essential
NELFA,Essential
NELFB,Essential
NELFCD,Essential
NELFE,Essential
NEMF,Essential
NFATC2IP,Essential
NFKBIE,Essential
NFRKB,Essential
NFS1,Essential
NFYB,Essential
NFYC,Essential
NHLRC2,Essential
NHP2,Essential
NHP2L1,Essential
NIFK,Essential
NIP7,Essential
NISCH,Essential
NLE1,Essential
NMD3,Essential
NMT1,Essential
NOB1,Essential
NOC2L,Essential
NOC3L,Essential
NOC4L,Essential
NOL10,Essential
NOL11,Essential
NOL12,Essential
NOL6,Essential
NOL7,Essential
NOL8,Essential
NOL9,Essential
NOLC1,Essential
NOM1,Essential
NOMO3,Essential
NOP10,Essential
NOP14,Essential
NOP16,Essential
NOP2,Essential
NOP56,Essential
NOP58,Essential
NOP9,Essential
NOS1AP,Essential
NOTCH2NL,Essential
NPAT,Essential
NPB,Essential
NPEPPS,Essential
NPIPA1,Essential
NPIPA5,Essential
NPLOC4,Essential
NPM1,Essential
NPM3,Essential
NR2C2AP,Essential
NRBP1,Essential
NRDE2,Essential
NRF1,Essential
NSA2,Essential
NSF,Essential
NSL1,Essential
NSMCE1,Essential
NSMCE2,Essential
NSUN4,Essential
NUBP1,Essential
NUBP2,Essential
NUDC,Essential
NUDCD3,Essential
NUDT21,Essential
NUDT4,Essential
NUF2,Essential
NUFIP1,Essential
NUMA1,Essential
NUP107,Essential
NUP133,Essential
NUP153,Essential
NUP155,Essential
NUP160,Essential
NUP205,Essential
NUP214,Essential
NUP35,Essential
NUP43,Essential
NUP54,Essential
NUP62,Essential
NUP85,Essential
NUP88,Essential
NUP93,Essential
NUP98,Essential
NUS1,Essential
NUTF2,Essential
NVL,Essential
NXF1,Essential
OBFC1,Essential
OGFOD1,Essential
OIP5,Essential
OLFML3,Essential
OPA1,Essential
OR11H1,Essential
OR1D2,Essential
OR1E2,Essential
OR2A1,Essential
OR2A4,Essential
OR2T29,Essential
OR2T5,Essential
OR3A3,Essential
OR4F21,Essential
OR4F4,Essential
OR4K1,Essential
OR4N2,Essential
OR7A10,Essential
OR7A17,Essential
ORAOV1,Essential
ORC1,Essential
ORC3,Essential
ORC4,Essential
ORC5,Essential
ORC6,Essential
OSBP,Essential
OSGEP,Essential
OSTC,Essential
OTOP1,Essential
OVCA2,Essential
PABPC1,Essential
PABPN1,Essential
PAF1,Essential
PAFAH1B1,Essential
PAK1IP1,Essential
PALB2,Essential
PAM16,Essential
PARN,Essential
PARS2,Essential
PAXBP1,Essential
PC,Essential
PCBP1,Essential
PCBP2,Essential
PCF11,Essential
PCID2,Essential
PCNA,Essential
PCNXL3,Essential
PDAP1,Essential
PDCD11,Essential
PDCD2,Essential
PDCD5,Essential
PDCD6,Essential
PDCD6IP,Essential
PDCD7,Essential
PDE4DIP,Essential
PDPK1,Essential
PDRG1,Essential
PEF1,Essential
PELO,Essential
PELP1,Essential
PES1,Essential
PET117,Essential
PEX1,Essential
PFDN1,Essential
PFDN2,Essential
PFDN4,Essential
PFDN5,Essential
PFDN6,Essential
PFN1,Essential
PGAM1,Essential
PGD,Essential
PGPEP1,Essential
PGS1,Essential
PHAX,Essential
PHB,Essential
PHB2,Essential
PHF12,Essential
PHF5A,Essential
PI4KA,Essential
PIGH,Essential
PIK3C3,Essential
PIK3R4,Essential
PKM,Essential
PKMYT1,Essential
PLA2G10,Essential
PLEKHN1,Essential
PLGLB2,Essential
PLK1,Essential
PLK4,Essential
PLRG1,Essential
PMF1,Essential
PMPCA,Essential
PMPCB,Essential
PNISR,Essential
PNKP,Essential
PNN,Essential
PNO1,Essential
PNPT1,Essential
POGZ,Essential
POLA2,Essential
POLD1,Essential
POLD2,Essential
POLD3,Essential
POLE,Essential
POLE2,Essential
POLG2,Essential
POLQ,Essential
POLR1A,Essential
POLR1B,Essential
POLR1C,Essential
POLR1E,Essential
POLR2A,Essential
POLR2B,Essential
POLR2C,Essential
POLR2D,Essential
POLR2E,Essential
POLR2F,Essential
POLR2G,Essential
POLR2H,Essential
POLR2I,Essential
POLR2J,Essential
POLR2K,Essential
POLR2L,Essential
POLR3A,Essential
POLR3B,Essential
POLR3C,Essential
POLR3D,Essential
POLR3E,Essential
POLR3F,Essential
POLR3H,Essential
POLR3K,Essential
POLRMT,Essential
POP1,Essential
POP4,Essential
POP5,Essential
POP7,Essential
POT1,Essential
POTEG,Essential
POU5F1B,Essential
PPA1,Essential
PPA2,Essential
PPAN,Essential
PPARGC1B,Essential
PPIA,Essential
PPIAL4D,Essential
PPIE,Essential
PPIH,Essential
PPIL1,Essential
PPIL2,Essential
PPIL4,Essential
PPME1,Essential
PPP1CA,Essential
PPP1CB,Essential
PPP1R10,Essential
PPP1R11,Essential
PPP1R12A,Essential
PPP1R15B,Essential
PPP1R2,Essential
PPP1R7,Essential
PPP1R8,Essential
PPP2CA,Essential
PPP2R1A,Essential
PPP2R3C,Essential
PPP2R4,Essential
PPP4C,Essential
PPP4R2,Essential
PPP6C,Essential
PPRC1,Essential
PPWD1,Essential
PPY,Essential
PRAMEF17,Essential
PRAMEF5,Essential
PRAMEF6,Essential
PRC1,Essential
PRDM10,Essential
PREB,Essential
PRELID1,Essential
PRIM1,Essential
PRKRA,Essential
PRKRIP1,Essential
PRKRIR,Essential
PRMT1,Essential
PRMT5,Essential
PRODH,Essential
PRODH2,Essential
PRPF18,Essential
PRPF19,Essential
PRPF3,Essential
PRPF31,Essential
PRPF38A,Essential
PRPF38B,Essential
PRPF4,Essential
PRPF40A,Essential
PRPF4B,Essential
PRPF6,Essential
PRPF8,Essential
PRRC2A,Essential
PRSS50,Essential
PSAT1,Essential
PSMA1,Essential
PSMA2,Essential
PSMA3,Essential
PSMA4,Essential
PSMA5,Essential
PSMA6,Essential
PSMA7,Essential
PSMB1,Essential
PSMB2,Essential
PSMB3,Essential
PSMB4,Essential
PSMB5,Essential
PSMB6,Essential
PSMB7,Essential
PSMC1,Essential
PSMC2,Essential
PSMC3,Essential
PSMC4,Essential
PSMC5,Essential
PSMC6,Essential
PSMD1,Essential
PSMD11,Essential
PSMD12,Essential
PSMD13,Essential
PSMD14,Essential
PSMD2,Essential
PSMD3,Essential
PSMD4,Essential
PSMD6,Essential
PSMD7,Essential
PSMD8,Essential
PSMD9,Essential
PSME1,Essential
PSME2,Essential
PSMG1,Essential
PSMG2,Essential
PSMG3,Essential
PSMG4,Essential
PSTK,Essential
PTBP1,Essential
PTCD1,Essential
PTCD3,Essential
PTK2,Essential
PTMA,Essential
PTPMT1,Essential
PTPN23,Essential
PUF60,Essential
PWP1,Essential
PWP2,Essential
PXN,Essential
PYROXD1,Essential
QARS,Essential
QRSL1,Essential
RAB18,Essential
RAB4A,Essential
RAB6A,Essential
RABGGTA,Essential
RABGGTB,Essential
RABIF,Essential
RAC1,Essential
RAC3,Essential
RACGAP1,Essential
RAD1,Essential
RAD17,Essential
RAD21,Essential
RAD51,Essential
RAD51C,Essential
RAD51D,Essential
RAD9A,Essential
RAE1,Essential
RAN,Essential
RANBP2,Essential
RANGAP1,Essential
RARS,Essential
RARS2,Essential
RBBP4,Essential
RBBP5,Essential
RBBP6,Essential
RBBP8,Essential
RBM14,Essential
RBM17,Essential
RBM19,Essential
RBM22,Essential
RBM25,Essential
RBM28,Essential
RBM39,Essential
RBM4,Essential
RBM42,Essential
RBM48,Essential
RBM8A,Essential
RBMXL1,Essential
RBX1,Essential
RCC1,Essential
RCL1,Essential
RCOR1,Essential
REV3L,Essential
REXO2,Essential
RFC1,Essential
RFC2,Essential
RFC3,Essential
RFC4,Essential
RFC5,Essential
RFFL,Essential
RFT1,Essential
RGP1,Essential
RGPD6,Essential
RHOQ,Essential
RHPN1,Essential
RIC1,Essential
RINT1,Essential
RIOK1,Essential
RIOK2,Essential
RITA1,Essential
RMI1,Essential
RNASEH2C,Essential
RNF103,Essential
RNF123,Essential
RNF14,Essential
RNF168,Essential
RNF20,Essential
RNF4,Essential
RNF40,Essential
RNF8,Essential
RNGTT,Essential
RNMT,Essential
RNPC3,Essential
RNPS1,Essential
ROMO1,Essential
RPA1,Essential
RPA2,Essential
RPA3,Essential
RPAIN,Essential
RPAP1,Essential
RPAP2,Essential
RPAP3,Essential
RPE,Essential
RPF1,Essential
RPF2,Essential
RPL10A,Essential
RPL11,Essential
RPL12,Essential
RPL13,Essential
RPL13A,Essential
RPL14,Essential
RPL15,Essential
RPL17,Essential
RPL18,Essential
RPL18A,Essential
RPL19,Essential
RPL23,Essential
RPL23A,Essential
RPL24,Essential
RPL26,Essential
RPL26L1,Essential
RPL27,Essential
RPL27A,Essential
RPL28,Essential
RPL29,Essential
RPL3,Essential
RPL30,Essential
RPL31,Essential
RPL32,Essential
RPL34,Essential
RPL35,Essential
RPL36,Essential
RPL36AL,Essential
RPL37,Essential
RPL37A,Essential
RPL38,Essential
RPL4,Essential
RPL41,Essential
RPL5,Essential
RPL6,Essential
RPL7,Essential
RPL7A,Essential
RPL7L1,Essential
RPL8,Essential
RPL9,Essential
RPLP0,Essential
RPLP1,Essential
RPLP2,Essential
RPN1,Essential
RPN2,Essential
RPP14,Essential
RPP21,Essential
RPP30,Essential
RPP38,Essential
RPP40,Essential
RPS11,Essential
RPS12,Essential
RPS13,Essential
RPS14,Essential
RPS15,Essential
RPS15A,Essential
RPS16,Essential
RPS17,Essential
RPS18,Essential
RPS19,Essential
RPS19BP1,Essential
RPS2,Essential
RPS20,Essential
RPS21,Essential
RPS23,Essential
RPS24,Essential
RPS25,Essential
RPS27,Essential
RPS27A,Essential
RPS28,Essential
RPS29,Essential
RPS3,Essential
RPS3A,Essential
RPS5,Essential
RPS6,Essential
RPS7,Essential
RPS8,Essential
RPS9,Essential
RPSA,Essential
RPTOR,Essential
RPUSD3,Essential
RPUSD4,Essential
RQCD1,Essential
RRM1,Essential
RRM2,Essential
RRN3,Essential
RRP1,Essential
RRP12,Essential
RRP15,Essential
RRP7A,Essential
RRP9,Essential
RRS1,Essential
RSL1D1,Essential
RSL24D1,Essential
RSRC2,Essential
RTCB,Essential
RTEL1,Essential
RTF1,Essential
RTFDC1,Essential
RTTN,Essential
RUVBL1,Essential
RUVBL2,Essential
SACM1L,Essential
SAE1,Essential
SAMM50,Essential
SAP130,Essential
SAP18,Essential
SAP30BP,Essential
SARNP,Essential
SARS,Essential
SARS2,Essential
SART1,Essential
SART3,Essential
SASS6,Essential
SBDS,Essential
SBNO1,Essential
SCAP,Essential
SCD,Essential
SCFD1,Essential
SCGB1C1,Essential
SCNM1,Essential
SDAD1,Essential
SDC1,Essential
SDE2,Essential
SDHA,Essential
SDHAF1,Essential
SDHAF2,Essential
SDHC,Essential
SDHD,Essential
SEC13,Essential
SEC16A,Essential
SEC61A1,Essential
SEC61B,Essential
SEC61G,Essential
SEC62,Essential
SEC63,Essential
SEH1L,Essential
SENP6,Essential
SEPHS2,Essential
SEPSECS,Essential
SERBP1,Essential
SET,Essential
SETD1A,Essential
SETD2,Essential
SETD8,Essential
SETDB1,Essential
SF1,Essential
SF3A1,Essential
SF3A2,Essential
SF3A3,Essential
SF3B1,Essential
SF3B2,Essential
SF3B3,Essential
SF3B4,Essential
SF3B5,Essential
SF3B6,Essential
SFPQ,Essential
SFSWAP,Essential
SGOL1,Essential
SGPP1,Essential
SHFM1,Essential
SHQ1,Essential
SIGLEC14,Essential
SIN3A,Essential
SKA1,Essential
SKA3,Essential
SKIV2L2,Essential
SKP1,Essential
SKP2,Essential
SLBP,Essential
SLC16A5,Essential
SLC1A5,Essential
SLC25A10,Essential
SLC25A26,Essential
SLC25A3,Essential
SLC35B1,Essential
SLC35G6,Essential
SLC39A10,Essential
SLC39A7,Essential
SLC4A5,Essential
SLC7A5,Essential
SLC7A6OS,Essential
SLC9B1,Essential
SLMO2,Essential
SLU7,Essential
SMAGP,Essential
SMARCB1,Essential
SMARCE1,Essential
SMC2,Essential
SMC3,Essential
SMC4,Essential
SMC5,Essential
SMC6,Essential
SMG1,Essential
SMG5,Essential
SMG6,Essential
SMG8,Essential
SMN2,Essential
SMNDC1,Essential
SMU1,Essential
SMUG1,Essential
SNAPC1,Essential
SNAPC2,Essential
SNAPC3,Essential
SNAPC4,Essential
SNAPC5,Essential
SNF8,Essential
SNIP1,Essential
SNRNP200,Essential
SNRNP25,Essential
SNRNP27,Essential
SNRNP35,Essential
SNRNP40,Essential
SNRNP48,Essential
SNRNP70,Essential
SNRPA,Essential
SNRPA1,Essential
SNRPB,Essential
SNRPC,Essential
SNRPD1,Essential
SNRPD2,Essential
SNRPD3,Essential
SNRPE,Essential
SNRPF,Essential
SNRPG,Essential
SNUPN,Essential
SNW1,Essential
SOD1,Essential
SOD2,Essential
SON,Essential
SP2,Essential
SPATA31A6,Essential
SPATA5,Essential
SPATA5L1,Essential
SPC24,Essential
SPC25,Essential
SPCS2,Essential
SPCS3,Essential
SPDL1,Essential
SPDYE1,Essential
SPRTN,Essential
SPTLC1,Essential
SPTSSA,Essential
SRBD1,Essential
SRCAP,Essential
SRF,Essential
SRFBP1,Essential
SRP14,Essential
SRP19,Essential
SRP54,Essential
SRP68,Essential
SRP72,Essential
SRP9,Essential
SRPR,Essential
SRPRB,Essential
SRRM1,Essential
SRRM2,Essential
SRRT,Essential
SRSF1,Essential
SRSF10,Essential
SRSF11,Essential
SRSF2,Essential
SRSF3,Essential
SRSF6,Essential
SRSF7,Essential
SS18L2,Essential
SSBP1,Essential
SSBP3,Essential
SSRP1,Essential
SSU72,Essential
STARD7,Essential
STAT5A,Essential
STIL,Essential
STRA13,Essential
STRAP,Essential
STRIP1,Essential
STX18,Essential
STX5,Essential
SUGP1,Essential
SUGT1,Essential
SUMO2,Essential
SUPT16H,Essential
SUPT4H1,Essential
SUPT5H,Essential
SUPT6H,Essential
SUPV3L1,Essential
SURF6,Essential
SYF2,Essential
SYMPK,Essential
SYS1,Essential
SYT15,Essential
TACC3,Essential
TADA2A,Essential
TADA3,Essential
TAF10,Essential
TAF12,Essential
TAF1A,Essential
TAF1B,Essential
TAF1C,Essential
TAF1D,Essential
TAF2,Essential
TAF5,Essential
TAF6,Essential
TAF7,Essential
TAF8,Essential
TAMM41,Essential
TANGO6,Essential
TARDBP,Essential
TARS,Essential
TARS2,Essential
TBC1D28,Essential
TBC1D3B,Essential
TBC1D3C,Essential
TBC1D3H,Essential
TBCA,Essential
TBCB,Essential
TBCC,Essential
TBCD,Essential
TBCE,Essential
TBL3,Essential
TBP,Essential
TCEB1,Essential
TCEB2,Essential
TCEB3CL,Essential
TCERG1,Essential
TCOF1,Essential
TCP1,Essential
TDGF1,Essential
TEAD3,Essential
TEFM,Essential
TELO2,Essential
TEN1,Essential
TERF1,Essential
TERF2,Essential
TEX10,Essential
TFAM,Essential
TFB2M,Essential
TFDP1,Essential
TFIP11,Essential
TFRC,Essential
TGS1,Essential
THAP1,Essential
THAP11,Essential
THG1L,Essential
THOC1,Essential
THOC3,Essential
THOC5,Essential
THOC6,Essential
THOC7,Essential
TICRR,Essential
TIGD1,Essential
TIMELESS,Essential
TIMM10,Essential
TIMM13,Essential
TIMM22,Essential
TIMM23,Essential
TIMM44,Essential
TIMM9,Essential
TINF2,Essential
TIPIN,Essential
TKT,Essential
TLCD1,Essential
TLN1,Essential
TM7SF2,Essential
TMA16,Essential
TMED2,Essential
TMEM127,Essential
TMEM199,Essential
TMEM240,Essential
TMEM258,Essential
TMEM97,Essential
TMSB10,Essential
TMX2,Essential
TNNT2,Essential
TNPO3,Essential
TOE1,Essential
TOMM20,Essential
TOMM22,Essential
TOMM40,Essential
TONSL,Essential
TOP1,Essential
TOP2A,Essential
TOP3A,Essential
TOPBP1,Essential
TOR2A,Essential
TP53RK,Essential
TPI1,Essential
TPM4,Essential
TPR,Essential
TPRKB,Essential
TPT1,Essential
TPX2,Essential
TRA2B,Essential
TRAIP,Essential
TRAPPC1,Essential
TRAPPC11,Essential
TRAPPC3,Essential
TRAPPC4,Essential
TRAPPC5,Essential
TRAPPC8,Essential
TREML2,Essential
TRIAP1,Essential
TRIM49C,Essential
TRMT10C,Essential
TRMT112,Essential
TRMT5,Essential
TRMT6,Essential
TRNP1,Essential
TRNT1,Essential
TRPM7,Essential
TRRAP,Essential
TSC22D2,Essential
TSEN2,Essential
TSEN34,Essential
TSEN54,Essential
TSFM,Essential
TSG101,Essential
TSPYL5,Essential
TSR1,Essential
TSSK3,Essential
TTC1,Essential
TTC27,Essential
TTC4,Essential
TTF2,Essential
TTI1,Essential
TTI2,Essential
TTK,Essential
TUBA1B,Essential
TUBA1C,Essential
TUBA3D,Essential
TUBB,Essential
TUBB8,Essential
TUBD1,Essential
TUBE1,Essential
TUBG1,Essential
TUBGCP2,Essential
TUBGCP3,Essential
TUBGCP4,Essential
TUBGCP5,Essential
TUBGCP6,Essential
TULP1,Essential
TUT1,Essential
TVP23C,Essential
TWF1,Essential
TWISTNB,Essential
TXN,Essential
TXNL4A,Essential
TXNL4B,Essential
TYW1B,Essential
U2AF1,Essential
U2AF2,Essential
U2SURP,Essential
UBA2,Essential
UBA3,Essential
UBA5,Essential
UBA52,Essential
UBAP1,Essential
UBC,Essential
UBE2D3,Essential
UBE2H,Essential
UBE2I,Essential
UBE2L3,Essential
UBE2M,Essential
UBE2N,Essential
UBE2O,Essential
UBE2Z,Essential
UBL5,Essential
UBQLN4,Essential
UBR4,Essential
UBR5,Essential
UBTF,Essential
UFD1L,Essential
UFL1,Essential
UFM1,Essential
UNC45A,Essential
UNC50,Essential
UPF1,Essential
UPF2,Essential
UPF3A,Essential
UQCC2,Essential
UQCRB,Essential
UQCRC1,Essential
UQCRC2,Essential
UQCRFS1,Essential
UQCRH,Essential
UQCRQ,Essential
URB1,Essential
URB2,Essential
URI1,Essential
URM1,Essential
UROD,Essential
USF2,Essential
USH1G,Essential
USP10,Essential
USP17L5,Essential
USP19,Essential
USP36,Essential
USP37,Essential
USP39,Essential
USP5,Essential
USP7,Essential
USP8,Essential
USPL1,Essential
UTP11L,Essential
UTP15,Essential
UTP18,Essential
UTP20,Essential
UTP23,Essential
UTP3,Essential
UTP6,Essential
UXS1,Essential
VARS,Essential
VARS2,Essential
VCP,Essential
VDAC1,Essential
VEZT,Essential
VHL,Essential
VMP1,Essential
VPS13D,Essential
VPS18,Essential
VPS25,Essential
VPS28,Essential
VPS29,Essential
VPS33A,Essential
VPS35,Essential
VPS37A,Essential
VPS37C,Essential
VPS41,Essential
VPS51,Essential
VPS72,Essential
VWA9,Essential
WAC,Essential
WARS,Essential
WBP1,Essential
WBP11,Essential
WBP1L,Essential
WBSCR16,Essential
WBSCR22,Essential
WDHD1,Essential
WDR1,Essential
WDR12,Essential
WDR18,Essential
WDR24,Essential
WDR25,Essential
WDR26,Essential
WDR3,Essential
WDR33,Essential
WDR4,Essential
WDR43,Essential
WDR46,Essential
WDR5,Essential
WDR54,Essential
WDR55,Essential
WDR61,Essential
WDR7,Essential
WDR70,Essential
WDR74,Essential
WDR75,Essential
WDR77,Essential
WDR82,Essential
WDR83OS,Essential
WDR92,Essential
WDTC1,Essential
WEE1,Essential
WIBG,Essential
WNK1,Essential
WRB,Essential
WTAP,Essential
XAB2,Essential
XPO1,Essential
XPO5,Essential
XRCC1,Essential
XRCC2,Essential
XRCC3,Essential
XRCC5,Essential
XRCC6,Essential
XRN1,Essential
XRN2,Essential
XYLT2,Essential
YAE1D1,Essential
YARS,Essential
YARS2,Essential
YBX1,Essential
YEATS2,Essential
YEATS4,Essential
YJEFN3,Essential
YKT6,Essential
YPEL1,Essential
YPEL5,Essential
YRDC,Essential
YTHDC1,Essential
YY1,Essential
ZBTB11,Essential
ZBTB17,Essential
ZC3H18,Essential
ZC3H8,Essential
ZCCHC9,Essential
ZCRB1,Essential
ZFC3H1,Essential
ZFP69B,Essential
ZGRF1,Essential
ZMAT2,Essential
ZMAT5,Essential
ZMYND8,Essential
ZNF100,Essential
ZNF131,Essential
ZNF133,Essential
ZNF207,Essential
ZNF236,Essential
ZNF24,Essential
ZNF253,Essential
ZNF284,Essential
ZNF317,Essential
ZNF335,Essential
ZNF407,Essential
ZNF468,Essential
ZNF492,Essential
ZNF506,Essential
ZNF559,Essential
ZNF574,Essential
ZNF676,Essential
ZNF687,Essential
ZNF720,Essential
ZNF763,Essential
ZNF830,Essential
ZNHIT2,Essential
ZNHIT3,Essential
ZNHIT6,Essential
ZNRD1,Essential
ZPR1,Essential
ZRANB2,Essential
ZW10,Essential
ZWINT,Essential
